Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Login Page,420,7354,0,27800,8770.29,1.190%,2.25386,54.43,0.72,24728.1
Login Request,303,6965,0,35744,6082.11,3.300%,1.62448,52.90,1.98,33344.3
Search Request,591,2550,0,25919,3193.00,4.399%,3.19985,16.93,1.99,5416.4
Artist Space Request,382,4001,0,25860,3671.45,3.403%,2.06549,112.71,1.26,55878.9
Poll CSRF Request,263,3314,1,26696,4177.76,3.042%,1.42643,37.60,0.90,26991.6
poll Request,440,4650,0,27717,4979.15,7.273%,2.38735,78.87,2.85,33827.7
follow Request,224,5376,0,30046,5338.22,7.589%,1.21780,53.01,1.58,44576.6
unfollow Request,214,5363,0,29247,4902.94,4.673%,1.17005,52.05,1.57,45555.0
car Space Request,198,4307,0,27417,4606.34,4.040%,1.09391,59.40,0.67,55605.8
poll CSRF Request,190,4216,0,28079,5731.24,4.211%,1.05224,27.62,0.66,26877.2
Post CSRF Request ,175,4702,0,27326,5667.10,1.714%,.96987,54.27,0.59,57300.7
Post Request ,166,4507,0,26635,5934.79,7.229%,.92896,27.07,0.84,29838.5
Open mailbox Request,156,4278,205,26569,5496.75,0.000%,.87541,27.32,0.65,31960.8
Open chat Request,150,4694,0,28006,5603.05,3.333%,.85102,59.98,0.61,72175.2
send Request,145,5771,0,31244,5259.44,3.448%,.80935,2.57,0.72,3251.7
Load dashboard Request,225,3933,0,27621,5534.15,2.222%,1.30536,40.44,0.78,31725.2
Load latest stream Request,127,6807,0,37132,5784.19,2.362%,.72549,210.41,0.48,296986.7
Comment Request,114,4040,0,24817,5391.00,3.509%,.65639,15.60,0.56,24343.7
Like Comment Request,110,2941,0,24490,4355.57,13.636%,.65147,1.16,0.52,1829.0
Unlike Comment Request,108,2644,180,26718,4267.18,24.074%,.63465,1.14,0.51,1845.2
Search David Roberts Request,96,3425,321,21679,3610.10,3.125%,.56341,17.33,0.37,31494.8
Open David Roberts Profile Request,93,4524,520,26415,5491.77,3.226%,.54495,23.99,0.34,45086.3
Show Post By PermaLink Request,85,5875,618,28398,5540.65,0.000%,.50282,23.59,0.63,48046.3
Check Dashboard Request,82,3656,366,26168,4875.87,0.000%,.48795,15.49,0.30,32508.4
Logout Request,76,5310,481,25275,5456.03,3.947%,.45944,12.37,0.58,27566.7
TOTAL,5133,4619,0,37132,5526.18,4.364%,27.31685,1030.20,21.75,38618.0
