Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Login Page,500,41830,112,66248,27991.82,0.000%,6.67281,152.19,1.19,23355.3
Login Request,500,43353,0,76174,29912.89,2.000%,3.42757,112.42,3.96,33586.4
Search Request,414,5570,0,63561,9856.06,5.556%,3.31962,16.81,1.93,5186.1
Artist Space Request,248,9275,0,63189,13199.32,8.065%,1.90979,99.97,1.07,53601.9
Poll CSRF Request,233,7145,0,59472,11943.03,4.721%,1.88179,48.79,1.12,26552.1
poll Request,347,9034,0,62627,10614.78,5.764%,2.70527,90.55,3.19,34275.3
follow Request,191,11446,3164,59081,11833.62,0.524%,1.57902,72.99,2.08,47333.2
unfollow Request,175,10743,2476,58648,8367.60,1.714%,1.53541,69.74,2.01,46513.6
car Space Request,152,8121,2332,59185,7915.29,0.000%,1.69977,94.78,1.00,57101.8
poll CSRF Request,149,9258,0,60788,12507.99,0.671%,1.75026,46.16,1.06,27004.2
Post CSRF Request ,135,10011,0,58626,12409.94,2.963%,1.52183,85.87,0.87,57778.5
Post Request ,118,8101,0,59758,8877.62,11.864%,1.40595,38.67,1.16,28162.8
Open mailbox Request,113,7562,0,42039,9418.13,5.310%,1.39841,42.00,0.92,30751.3
Open chat Request,95,8384,0,39286,8092.86,5.263%,1.24741,89.21,0.83,73229.0
send Request,86,7780,0,39288,7233.46,4.651%,1.34773,3.13,1.14,2375.8
Load dashboard Request,67,6444,1365,39521,7727.18,0.000%,1.14450,36.51,0.68,32669.1
Load latest stream Request,53,7241,0,12336,2143.51,1.887%,1.23419,369.81,0.79,306831.9
Comment Request,50,7241,1195,32568,4529.44,0.000%,1.10505,27.21,0.94,25216.8
Like Comment Request,22,3170,1,11128,2571.88,18.182%,.72691,0.88,0.55,1234.7
Unlike Comment Request,9,4024,903,22395,6515.63,11.111%,.22092,0.27,0.17,1261.0
Search David Roberts Request,5,4141,2675,6902,1483.75,0.000%,.66076,20.49,0.40,31755.0
Open David Roberts Profile Request,2,3417,3078,3756,339.00,0.000%,.53248,23.43,0.32,45053.0
TOTAL,3664,17635,0,76174,23300.17,3.493%,25.06739,892.83,19.03,36472.0
